"178","N5","分","ブン, フン","わ.ける,  わ.かる","comprendre, minute, degré, taux"
"179","N4","切","セツ, サイ","き.る","couper, trancher"
"180","N1","刈","ガイ, カイ","か.る","moissonner, tailler, couper"
"181","N2","刉","カン","-","publication, édition, publier"
"182","N1","刑","ケイ","-","châtiment, punition, sanction"
"183","N3","列","レツ","-","rang, file, queue"
"184","N3","初","ショ","はじ.め, はじ.めて","première fois, commencement, début"
"185","N3","判","ハン, バン","わか.る","décision, jugement, sceau, tampon"
"186","N4","別","ベツ","わか.れる, わ.ける","se séparer, séparer, pas en particulier"
"187","N3","利","リ","き.く","bénéfice, profit, avantage"
"188","N3","到","トウ","いた.る","arriver à (une décision), atteindre (une étape), aboutir à"
"189","N3","制","セイ","-","système, régime, organisation"
"190","N2","刷","サツ","す.る","impression, imprimer"
"191","N2","券","ケン","-","coupon, ticket"
"192","N2","刺","シ","さ.す, さし, とげ","percer, piquer, enfoncer, carte de visite"
"193","N3","刻","コク","きざ.む","découper, hacher, graver"
"194","N2","則","ソク","のっと.る","règlement, norme, loi"
"195","N1","削","サク","けず.る, はつ.る, そ.ぐ","tailler, réduire, affûter, supprimer"
"196","N5","前","ゼン","まえ","avant, devant"
"197","N1","剖","ボウ","-","dissection, vivisection"
"198","N1","剛","ゴウ","-","ferme, robuste, fort"
"199","N1","剣","ケン","つるぎ","sabre, épée, aiguille d'une montre"
"200","N1","剤","ザイ, スイ, セイ","かる, けず.る","médicament, drogue, produit pour ~"
"201","N2","副","フク","-","vice-, accompagnement"
"202","N1","剰","ジョウ","あま.る","surplus, en plus"
"203","N3","割","カツ","わ.る, わ.れる","diviser, séparer, se fendre, pourcentage,proportion"
"204","N1","創","ソウ, ショウ","つく.る, はじ.める","fondation, genèse"
"205","N2","劇","ゲキ","-","pièce de théâtre, théâtre"
"206","N4","力","リョク, リキ, リイ","ちから","force, puissance"
"207","N1","功","コウ, ク","いさお","réussite, succès, effort"
"208","N3","加","カ","くわ.える","ajouter, accroître, augmentation"
"209","N1","务","レツ","おと.る","être inférieur à, être pire que"
"210","N3","助","ジョ","たす.ける, すけ","secourir, aider, être aidé"
"211","N3","努","ド","つと.める","s'efforcer de, faire des efforts, s'appliquer"
"212","N1","励","レイ","はげ.む","encourager, pousser à, s'efforcer de"
"213","N3","労","ロウ","いたわ.る, つか.れる,ねぎら.う","labeur, effort, souci"
"214","N2","効","コウ","き.く","être efficace, efficace, mérite"
"215","N1","劾","ガイ","-","censure, enquête criminelle"
"216","N1","勅","チョク","みことのり","décret impérial"
"217","N2","勇","ユウ","いさ.む","avoir du courage, bravoure, verve"
"218","N4","勉","ベン","つと.める","exercice, travail"
"219","N4","動","ドウ","うご.く","bouger, se déplacer, mouvement"
"220","N1","勘","カン","-","intuition, perception"
"221","N3","務","ム","つと.める","travailler, tâche, travail"
"222","N3","勝","ショウ","か.つ","gagner, surpasser, victoire"
"223","N2","募","ボ","つの.る","empirer, recruter, devenir violent,contribution (monétaire)"
"224","N2","勢","セイ, ゼイ","いきお.い, はずみ","énergie, vigueur, puissance"
"225","N3","勤","キン, ゴン","つと.める","travailler, application, effort"
"226","N1","勧","カン, ケン","すす.める","persuader, recommander, conseiller, encourager"
"227","N1","勲","クン","いさお","action méritoire, mérite"
"228","N1","勺","シャク","-","louche, écumoir, unité de mesure (shaku=18ml)"
"229","N1","匁","-","もんめ","unité de poids (monme = 3,75 g)"
"230","N2","包","ホウ","つつ.む","envelopper, emballer, recouvrir"
"231","N3","化","カ, ケ","ば.ける","transformer, influence"
"232","N5","北","ホク","きた","Nord"
"233","N1","匠","ショウ","たくみ","artisan, ouvrier"
"234","N2","匹","ヒツ","ひき","rouleau de tissu, compteur pour les petits animaux, égal"
"235","N4","区","ク","-","arrondissement, district"
"236","N4","医","イ","い.やす","médecin, médecine"
"237","N1","匿","トク","かくま.う","cacher, dissimuler"
"238","N5","十","ジュウ","とお, と","dix"
"239","N5","千","セン","ち","mille"
"240","N1","升","ショウ","ます","boîte, unité de volume (masu=1,8L)"
"241","N5","午","ゴ","うま","midi"
"242","N5","半","ハン","なか.ば","moitié, milieu, demi"
"243","N1","卑","ヒ","いや.しい","modeste, humble, ignoble, lâche,méprisable"
"244","N2","卒","ソツ","お.える, お.わる","fin des études, soldat, serviteur"
"245","N1","卓","タク","-","table, supérieur, éminent"
"246","N2","協","キョウ","-","coopération"
"247","N5","单","ナン","みなみ","Sud"
"248","N3","卖","タン","ひとえ","simple, unique, seulement"
"249","N1","博","ハク, バク","-","Docteur (titulaire du doctorat), nombreux,exposition"
"250","N2","占","セン","うらな.う, し.める","divination, bonne aventure, tenir, posséder,prendre"
"251","N2","印","イン","しるし","marque, sceau, symbole"
"252","N3","危","キ","あぶ.ない","dangereux, risqué, crainte"
"253","N1","即","ソク","つ.く, すなわ.ち","se conformer à, être adapté à, instantané,immédiatement"
"254","N1","却","キャク","かえ.って, しりぞ.く","à l'inverse, au contraire, plutôt"
"255","N2","卵","ラン","たまご","œuf"
"256","N1","卸","シャ","おろ.す, おろし","vente en gros"
"257","N1","厄","ヤク","-","désastre, malchance"
"258","N1","厘","リン","-","un petit peu, unité de longueur (rin = 0,3mm), unité monétaire (rin = 0,001 yen)"
"259","N2","厚","コウ","あつ.い","épais, lourd, cordial"
"260","N3","原","ゲン","はら","prairie, pré, original, primitif"
"261","N1","厳","ゲン, ゴン","きび.しい, おごそ.か","strict, sévère"
"262","N4","去","キョ, コ","さ.る","passé, quitter"
"263","N3","参","サン","まい.る","aller, venir"
"264","N1","又","ユウ","また","de nouveau, encore, ou bien, de plus"
"265","N1","及","キュウ","およ.ぶ","allonger le bras, s'étendre, aller jusqu'à"
"266","N5","友","ユウ","とも","ami"
"267","N2","双","ソウ","ふた, ふたつ","paire, deux parties, compteurs pour les paires"
"268","N3","反","ハン","そ.る, そ.らす","anti, opposé, courber, se courber"
"269","N3","収","シュウ","おさ.める","obtenir, récolter, réserve"
"270","N1","叔","シュク","-","oncle, tante"
"271","N3","取","シュ","と.る","prendre, saisir"
"272","N3","受","ジュ","う.ける","recevoir, passer (un examen), répondre (au téléphone)"
"273","N1","变","ジョ","つい.ず, ついで","conférer, raconter, décrire"
"274","N5","口","コウ, ク","くち","bouche"
"275","N5","古","コ","ふる.い","vieux, ancien"
"276","N1","句","ク","-","phrase, compteur de haïku, paragraphe"
"277","N2","叫","キョウ","さけ.ぶ","crier, hurler"
"278","N2","召","ショウ","め.す","appeler, faire venir à soi, porter (des vêtements), attraper (un rhume), prendre (un bain), manger, boire"
"279","N2","可","カ, コク","べ.き, べ.し","possible, réalisable, acceptable"
"280","N4","台","ダイ, タイ","うてな, われ","support, socle"
"281","N2","史","シ","-","histoire, chronique"
"282","N5","右","ウ, ユウ","みぎ","droite"
"283","N3","号","ゴウ","さけ.ぶ, よびな","numéro, titre"
"284","N2","司","シ","つかさど.る","administrer, gouverner, directeur"
"285","N2","各","カク","おのおの","chaque, chacun"
"286","N4","合","ゴウ, ガ","あ.う","correspondre, convenir"
"287","N1","吉","キチ, キツ","よし","bonne chance, joie, félicitations"
"288","N4","同","ドウ","おな.じ","identique, égal, similaire"
"289","N5","名","メイ, ミョウ","な","nom, célèbre, fameux"
"290","N1","后","コウ, ゴ","きさき","impératrice, reine"
"291","N1","吏","リ","-","fonctionnaire, employé"
"292","N1","吐","ト","は.く, つ.く","cracher, vomir, mentir, avouer"
"293","N3","向","コウ","む.こう, む.く","se diriger vers, de l'autre côté"
"294","N3","君","クン","きみ","toi, tu, suffixe de nom (-kun)"
"295","N1","吟","ギン","-","réciter, chanter, versifier"
"296","N3","否","ヒ","いな, いや","négation, nier, refuser"
"297","N2","含","ガン","ふく.む","inclure, garder à l'esprit, retenir"
"298","N3","吸","キュウ","す.う","aspirer, inhaler, absorber"
"299","N3","吹","スイ","ふ.く","souffler, respirer"
"300","N1","呂","ロ, リョ","-","colonne vertébrale, épine dorsale"
"301","N1","呈","テイ","-","afficher, offrir, présenter"
"302","N1","呉","ゴ","く.れる","faire quelque chose pour moi"
"303","N3","告","コク","つ.げる","informer, annoncer, révélation"
"304","N2","周","シュウ","まわ.り","tour, alentours, rotation"
"305","N4","味","ミ","あじ, あじ.わう","saveur, goût, apprécier la saveur de"
"306","N3","呼","コ","よ.ぶ","appeler, inviter"
"307","N3","命","メイ","いのち","ordre, commandement, destin, vie"
"308","N3","和","ワ","やわ.らぐ, なご.やか","harmonie, paix, serein adoucir"
"309","N2","咲","ショウ","さ.く","éclore, fleurir, floraison"
"310","N1","哀","アイ","あわ.れ, かな.しい","pitié, compassion, compatir"
"311","N4","品","ヒン","しな","marchandise, article, compteur de plats"
"312","N4","員","イン","-","employé, membre"
"313","N1","哲","テツ","さとし, さとる","philosophie, sagesse"
"314","N1","唄","バイ","うた, うた.う","chanson avec un shamisen (instrument à cordes)"
"315","N1","唆","サ","そそ.る, そそのか.す","inciter, séduire, tenter"
"316","N1","唇","シン","くちびる","lèvres"
"317","N1","唐","トウ","から","dynastie Tang, Chine"
"318","N1","唯","ユイ, イ","ただ","seulement, simplement, unique"
"319","N1","唱","ショウ","とな.える","chanter, réciter"
"320","N3","商","ショウ","あきな.う","commerce, vente"
"321","N4","問","モン","と.う","question, demander, interroger"
"322","N1","啓","ケイ","ひら.く, さと.す","divulguer, ouvrir, dire"
"323","N2","善","ゼン","よ.い, い.い, よ.く","bien, bonté, vertu"
"324","N1","喉","コウ","のど","gorge, voix"
"325","N1","喚","カン","わめ.く","hurler, crier"
"326","N3","喜","キ","よろこ.ぶ","se réjouir, être content"
"327","N1","喝","カツ","-","rauque, gronder"
"328","N1","喪","ソウ","も","deuil, perte"
"329","N2","喫","キツ","-","consommer, manger, boire, fumer"
